id$arrival$discount$image$name$price$product_type
1$CHEAP$772$lp2.hm.com/hmgoepprod?set=source[/3b/32/3b3277ed15f1cf433c50881a0a2da8da363ac359.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]$Denim shirt dress$799$MALE
2$NEW$1380$lp2.hm.com/hmgoepprod?set=source[/1b/09/1b093b8dc6c9acbd7c3a05ad4db9fc022054a69a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]$3-pack T-shirts Slim Fit$1499$MALE
3$CHEAP$626$lp2.hm.com/hmgoepprod?set=source[/3b/32/3b3277ed15f1cf433c50881a0a2da8da363ac359.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]$T-shirt Relaxed Fit$799$MALE
4$CHEAP$329$lp2.hm.com/hmgoepprod?set=source[/f4/61/f46120a2310e1f3d65c3f37a0b7b3c0f30d96d7c.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]$T-shirt Relaxed Fit$799$MALE
5$CHEAP$759$lp2.hm.com/hmgoepprod?set=source[/b0/78/b078556192b273fbdd475d21223ee10eb32048ed.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]$Slim Fit Polo shirt$799$MALE
6$NEW$1437$lp2.hm.com/hmgoepprod?set=source[/54/f5/54f53388a1e1402517ac250ad38ec0c37b545666.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]$Printed T-shirt$1499$MALE
7$CHEAP$410$lp2.hm.com/hmgoepprod?set=source[/e6/f1/e6f1c40f3ed783940a4bcfb330e4556d6d3feade.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]$Patterned T-shirt$999$MALE
8$NEW$613$lp2.hm.com/hmgoepprod?set=source[/00/3e/003e8f4e13ab4a37477f3becedcc36852b686b67.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]$Piqué polo shirt Muscle Fit$999$MALE
9$NEW$120$lp2.hm.com/hmgoepprod?set=source[/f3/e9/f3e984b8af5e609c8d5360e784c593342c7743d0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]$Regular Fit T-shirt$399$MALE
10$CHEAP$311$lp2.hm.com/hmgoepprod?set=source[/6d/56/6d56baa6fc2234241ff7d7cb2ee4580ec38f1ed4.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/main]$Printed T-shirt$1499$MALE
